"lon","lat","date","rain"
"23.75","-28.75",1982-06-01,0.393539071083069
"21.25","-26.25",1982-06-01,0.0519018582999706
"23.75","-26.25",1982-06-01,0.090504914522171
"21.25","-28.75",1982-07-01,0.173202246427536
"23.75","-28.75",1982-07-01,0.69025731086731
"21.25","-26.25",1982-07-01,0.173808366060257
"23.75","-26.25",1982-07-01,0.301550060510635
"21.25","-28.75",1982-08-01,0.00714931590482593
"23.75","-28.75",1982-08-01,0.00598559156060219
"21.25","-26.25",1982-08-01,0.00198925542645156
"23.75","-26.25",1982-08-01,9.23871484701522e-05
"21.25","-28.75",1982-09-01,0.10002525895834
"23.75","-28.75",1982-09-01,0.0777534767985344
"21.25","-26.25",1982-09-01,0.0624098032712936
"23.75","-26.25",1982-09-01,0.0292746350169182
"21.25","-28.75",1982-10-01,0.802103877067566
"23.75","-28.75",1982-10-01,1.59768068790436
"21.25","-26.25",1982-10-01,1.46435081958771
"23.75","-26.25",1982-10-01,2.57766580581665
"21.25","-28.75",1982-11-01,0.0904044508934021
"23.75","-28.75",1982-11-01,0.893338859081268
"21.25","-26.25",1982-11-01,0.401855409145355
"23.75","-26.25",1982-11-01,1.00122046470642
"21.25","-28.75",1982-12-01,0.927223861217499
"23.75","-28.75",1982-12-01,1.31615626811981
"21.25","-26.25",1982-12-01,0.775768756866455
"23.75","-26.25",1982-12-01,1.29109168052673
"21.25","-28.75",1983-01-01,0.427224844694138
"23.75","-28.75",1983-01-01,0.843606173992157
"21.25","-26.25",1983-01-01,1.55919635295868
"23.75","-26.25",1983-01-01,1.79052495956421
"21.25","-28.75",1983-02-01,0.0928276777267456
"23.75","-28.75",1983-02-01,0.333791196346283
"21.25","-26.25",1983-02-01,0.0644068121910095
"23.75","-26.25",1983-02-01,0.407043248414993
"21.25","-28.75",1983-03-01,0.439689934253693
"23.75","-28.75",1983-03-01,0.909434974193573
"21.25","-26.25",1983-03-01,0.952226221561432
"23.75","-26.25",1983-03-01,1.05998921394348
"21.25","-28.75",1983-04-01,0.420984268188477
