"hist","proj","run","rcp","gcm","cutoff"
0,0.0909090909090909,"end century","RCP6.0","MIROC5",">10 m"
0.478260869565217,0.863636363636364,"mid century","RCP8.5","MIROC5",">6 m"
0.478260869565217,0.954545454545455,"end century","RCP8.5","MIROC5",">6 m"
0.304347826086957,0.681818181818182,"mid century","RCP8.5","MIROC5",">7 m"
0.304347826086957,0.954545454545455,"end century","RCP8.5","MIROC5",">7 m"
0.260869565217391,0.272727272727273,"mid century","RCP8.5","MIROC5",">8 m"
0.260869565217391,0.954545454545455,"end century","RCP8.5","MIROC5",">8 m"
0.0869565217391304,0.181818181818182,"mid century","RCP8.5","MIROC5",">9 m"
0.0869565217391304,0.727272727272727,"end century","RCP8.5","MIROC5",">9 m"
0.0434782608695652,0.0454545454545455,"mid century","RCP8.5","MIROC5",">10 m"
0.0434782608695652,0.5,"end century","RCP8.5","MIROC5",">10 m"
0.347826086956522,0.857142857142857,"mid century","RCP2.6","GISS-E2-H",">6 m"
0.347826086956522,0.761904761904762,"end century","RCP2.6","GISS-E2-H",">6 m"
0.260869565217391,0.619047619047619,"mid century","RCP2.6","GISS-E2-H",">7 m"
0.260869565217391,0.714285714285714,"end century","RCP2.6","GISS-E2-H",">7 m"
0.217391304347826,0.476190476190476,"mid century","RCP2.6","GISS-E2-H",">8 m"
0.217391304347826,0.523809523809524,"end century","RCP2.6","GISS-E2-H",">8 m"
0.0869565217391304,0.285714285714286,"mid century","RCP2.6","GISS-E2-H",">9 m"
0.0869565217391304,0.476190476190476,"end century","RCP2.6","GISS-E2-H",">9 m"
0.0434782608695652,0.0952380952380952,"mid century","RCP2.6","GISS-E2-H",">10 m"
0.0434782608695652,0.238095238095238,"end century","RCP2.6","GISS-E2-H",">10 m"
0.391304347826087,0.857142857142857,"mid century","RCP4.5","GISS-E2-H",">6 m"
0.391304347826087,1,"end century","RCP4.5","GISS-E2-H",">6 m"
0.304347826086957,0.80952380952381,"mid century","RCP4.5","GISS-E2-H",">7 m"
0.304347826086957,0.857142857142857,"end century","RCP4.5","GISS-E2-H",">7 m"
0.217391304347826,0.714285714285714,"mid century","RCP4.5","GISS-E2-H",">8 m"
0.217391304347826,0.761904761904762,"end century","RCP4.5","GISS-E2-H",">8 m"
0.173913043478261,0.523809523809524,"mid century","RCP4.5","GISS-E2-H",">9 m"
0.173913043478261,0.428571428571429,"end century","RCP4.5","GISS-E2-H",">9 m"
0.0869565217391304,0.238095238095238,"mid century","RCP4.5","GISS-E2-H",">10 m"
0.0869565217391304,0.380952380952381,"end century","RCP4.5","GISS-E2-H",">10 m"
0.521739130434783,0.857142857142857,"mid century","RCP6.0","GISS-E2-H",">6 m"
0.521739130434783,1,"end century","RCP6.0","GISS-E2-H",">6 m"
0.391304347826087,0.761904761904762,"mid century","RCP6.0","GISS-E2-H",">7 m"
0.391304347826087,1,"end century","RCP6.0","GISS-E2-H",">7 m"
