"month","year","AgeMonths","mass"
9,2010,62.2857142857143,6.60107481771429
10,2010,63.2857142857143,6.59841960271429
11,2010,64.2857142857143,6.61759885185714
12,2010,60.625,6.650548279125
1,2011,64.8,6.658283192
2,2011,62.625,6.657131768875
3,2011,49.125,6.65722902875
4,2011,50.125,6.665044437625
5,2011,51.125,6.6760000825
6,2011,45.2857142857143,6.68647090571429
7,2011,47.25,6.648415846
8,2011,50.7142857142857,6.60633577157143
9,2011,49.625,6.589544733125
10,2011,50.5,6.5567298925
11,2011,49.8888888888889,6.56095307411111
12,2011,50.8888888888889,6.58230327111111
1,2012,48.75,6.58141194825
2,2012,51.5,6.5963732835
3,2012,53.7777777777778,6.58629461622222
4,2012,50,6.58463944454545
5,2012,51.6,6.5989651502
6,2012,52.6,6.6054405952
7,2012,50.8181818181818,6.58009546818182
8,2012,50,6.57626115258333
9,2012,52.75,6.60010003233333
10,2012,52.5,6.60392331308333
11,2012,48.5454545454545,6.57141077827273
12,2012,47.9090909090909,6.56660824509091
1,2013,49.7777777777778,6.55662369288889
2,2013,51.1,6.5158108101
3,2013,49.8888888888889,6.51688244044444
4,2013,50.5555555555556,6.55803055755556
5,2013,53.2222222222222,6.59145569188889
6,2013,54.2222222222222,6.60220549722222
7,2013,57.1111111111111,6.592014078
8,2013,53.625,6.579747947125
9,2013,54.7142857142857,6.57442630285714
10,2013,52.4285714285714,6.55444227857143
11,2013,52.375,6.626135099375
12,2013,49.125,6.647513344875
1,2014,44.5714285714286,6.64004349928571
2,2014,50.6,6.6406571087
3,2014,51.6,6.6361696834
4,2014,52.6,6.6335333734
5,2014,53.6,6.6327099741
6,2014,54.6,6.6254662521
7,2014,54.2222222222222,6.64022779033333
8,2014,55.2222222222222,6.626703399
9,2014,56.2222222222222,6.60647461022222
10,2014,56.1428571428571,6.584154076
11,2014,57.2857142857143,6.61798523357143
12,2014,55.25,6.577134774
1,2015,53,6.57782107514286
2,2015,55.8571428571429,6.59763509942857
3,2015,59.6666666666667,6.640499551
4,2015,57.8571428571429,6.67571812014286
5,2015,61.6666666666667,6.67413483966667
6,2015,62.6666666666667,6.659414186
7,2015,54,6.66695670766667
8,2015,55,6.66028390466667
9,2015,63,6.6511035804
10,2015,56,6.6206138435
11,2015,61.5,6.5964104195
12,2015,62.5,6.50014449875
1,2016,64,6.46426981833333
2,2016,45.5,6.492163396
3,2016,43.6666666666667,6.60140133933333
4,2016,47.5,6.615604104
5,2016,40.5,6.6626822235
6,2016,43.2,6.6557448534
7,2016,28.7142857142857,6.63235005014286
8,2016,25.25,6.6699657705
9,2016,33.2,6.6299815514
10,2016,26.5,6.622876523
11,2016,33.6,6.5715940254
12,2016,35.75,6.59856665875
1,2017,27.2,6.6182968288
2,2017,28.5,6.6402842675
3,2017,28.2,6.6287983264
4,2017,29.2,6.6261694914
5,2017,29.6666666666667,6.63921225466667
6,2017,33,6.650596736
7,2017,34,6.637724185
8,2017,35,6.6138853945
9,2017,36,6.622717144
10,2017,37,6.615525257
11,2017,38,6.5916767585
12,2017,39,6.5465164545
1,2018,44,6.558576138
2,2018,45,6.597962893
3,2018,46,6.624162329
4,2018,47,6.64508728
5,2018,48,6.632428798
6,2018,49,6.605472836
7,2018,50,6.525904507
10,2018,30,6.544032726
11,2018,31,6.584160796
12,2018,32,6.572534758
